"90平米  ","2室2厅  ","4200","furong"
"140平米  ","4室1厅  ","3200","yuhua"
"79平米  ","3室1厅  ","2400","furong"
"105平米  ","3室2厅  ","3000","furong"
"85平米  ","2室2厅  ","2000","furong"
"55平米  ","1室1厅  ","3800","furong"
"30平米  ","1室1厅  ","1300","furong"
"30平米  ","1室1厅  ","1300","furong"
"125平米  ","5室2厅  ","3400","furong"
"88平米  ","2室1厅  ","2800","furong"
"142平米  ","4室2厅  ","4500","furong"
"95平米  ","1室0厅  ","5000","furong"
"75平米  ","2室1厅  ","2200","furong"
"138平米  ","3室2厅  ","2500","furong"
"132平米  ","3室1厅  ","3500","furong"
"90平米  ","3室2厅  ","2400","furong"
"68平米  ","2室1厅  ","1450","furong"
"92平米  ","3室2厅  ","3600","furong"
"123平米  ","3室2厅  ","4500","furong"
"90平米  ","3室2厅  ","2600","kaifu"
"90平米  ","2室2厅  ","2000","kaifu"
"145平米  ","4室2厅  ","6500","kaifu"
"131平米  ","4室2厅  ","3600","kaifu"
"79平米  ","2室1厅  ","3000","kaifu"
"76平米  ","2室1厅  ","2400","kaifu"
"96平米  ","3室2厅  ","2500","kaifu"
"200平米  ","4室1厅  ","3000","kaifu"
"45平米  ","1室0厅  ","1650","kaifu"
"88平米  ","2室1厅  ","3000","kaifu"
"106平米  ","3室1厅  ","4000","kaifu"
"136平米  ","4室2厅  ","6500","kaifu"
"77平米  ","2室1厅  ","2500","kaifu"
"50平米  ","1室1厅  ","2500","kaifu"
"50平米  ","1室1厅  ","2250","kaifu"
"50平米  ","1室1厅  ","2400","kaifu"
"130平米  ","3室2厅  ","3000","kaifu"
"199平米  ","4室1厅  ","7500","kaifu"
"90平米  ","3室1厅  ","2600","kaifu"
"123平米  ","3室2厅  ","2800","kaifu"
"92平米  ","2室2厅  ","2800","kaifu"
"260平米  ","4室1厅  ","7500","kaifu"
"133平米  ","3室2厅  ","3600","kaifu"
"89平米  ","3室1厅  ","2800","kaifu"
"131平米  ","3室2厅  ","3200","kaifu"
"202平米  ","4室2厅  ","5000","kaifu"
"140平米  ","3室2厅  ","3280","kaifu"
"169平米  ","4室2厅  ","5500","kaifu"
"89平米  ","2室1厅  ","2300","kaifu"
"187平米  ","3室2厅  ","4000","kaifu"
"90平米  ","3室2厅  ","2700","kaifu"
"93平米  ","2室1厅  ","3500","kaifu"
"53平米  ","1室1厅  ","2500","kaifu"
"175平米  ","4室2厅  ","6000","kaifu"
"85平米  ","2室2厅  ","3500","kaifu"
"32平米  ","1室0厅  ","1900","kaifu"
"82平米  ","3室2厅  ","2000","tianxin"
"120平米  ","3室2厅  ","3300","tianxin"
"145平米  ","4室2厅  ","3200","tianxin"
"54平米  ","2室1厅  ","2300","tianxin"
"92平米  ","2室1厅  ","2000","tianxin"
"65平米  ","1室1厅  ","1900","tianxin"
"94平米  ","2室2厅  ","2800","tianxin"
"115平米  ","3室2厅  ","2000","tianxin"
"143平米  ","3室2厅  ","4800","tianxin"
"48平米  ","1室1厅  ","1700","tianxin"
"41平米  ","1室1厅  ","1600","tianxin"
"90平米  ","2室1厅  ","2600","tianxin"
"37平米  ","1室0厅  ","1300","tianxin"
"165平米  ","4室2厅  ","3800","tianxin"
"92平米  ","2室2厅  ","1800","tianxin"
"115平米  ","3室2厅  ","2500","tianxin"
"54平米  ","1室0厅  ","2200","tianxin"
"120平米  ","2室0厅  ","4700","tianxin"
"56平米  ","1室1厅  ","1800","tianxin"
"41平米  ","1室1厅  ","1600","tianxin"
"93平米  ","3室1厅  ","3000","tianxin"
"47平米  ","1室1厅  ","1500","tianxin"
"89平米  ","2室2厅  ","2300","tianxin"
"92平米  ","2室2厅  ","1800","tianxin"
"165平米  ","4室2厅  ","3800","tianxin"
"86平米  ","3室1厅  ","3000","tianxin"
"41平米  ","1室0厅  ","2000","tianxin"
"89平米  ","2室2厅  ","2500","tianxin"
"250平米  ","2室2厅  ","3500","tianxin"
"43平米  ","1室0厅  ","1600","tianxin"
"49平米  ","1室1厅  ","1800","tianxin"
"85平米  ","2室2厅  ","2200","tianxin"
"96平米  ","3室2厅  ","2200","yuelu"
"105平米  ","2室2厅  ","4000","yuelu"
"135平米  ","4室2厅  ","2700","yuelu"
"96平米  ","3室2厅  ","2600","yuelu"
"45平米  ","1室1厅  ","1400","yuelu"
"125平米  ","3室2厅  ","3000","yuelu"
"89平米  ","3室2厅  ","3000","yuelu"
"129平米  ","3室2厅  ","3000","yuelu"
"118平米  ","3室2厅  ","2900","yuelu"
"89平米  ","3室1厅  ","3000","yuelu"
"123平米  ","3室2厅  ","3200","yuelu"
"48平米  ","1室0厅  ","2500","yuelu"
"50平米  ","2室1厅  ","2000","yuelu"
"47平米  ","1室0厅  ","2000","yuelu"
"87平米  ","2室1厅  ","2200","yuelu"
"100平米  ","3室1厅  ","2100","yuelu"
"100平米  ","3室2厅  ","2600","yuelu"
"120平米  ","3室2厅  ","3200","yuelu"
"130平米  ","3室2厅  ","2800","yuelu"
"131平米  ","3室1厅  ","3500","yuelu"
"39平米  ","1室0厅  ","1800","yuelu"
"151平米  ","4室2厅  ","2500","yuelu"
"70平米  ","2室2厅  ","2400","yuelu"
"140平米  ","3室2厅  ","2200","yuelu"
"94平米  ","3室2厅  ","3500","yuelu"
"107平米  ","3室2厅  ","2500","yuelu"
"83平米  ","2室1厅  ","2000","yuelu"
"85平米  ","2室2厅  ","2000","yuelu"
"98平米  ","2室2厅  ","3500","yuelu"
"118平米  ","4室2厅  ","4600","yuelu"
"115平米  ","3室2厅  ","2800","yuelu"
"138平米  ","3室2厅  ","1800","yuelu"
"143平米  ","3室2厅  ","3500","yuelu"
"106平米  ","3室2厅  ","3000","yuelu"
"41平米  ","1室1厅  ","1800","yuelu"
"141平米  ","3室2厅  ","4300","yuelu"
"92平米  ","2室2厅  ","2300","yuelu"
"88平米  ","2室2厅  ","2500","yuelu"
"108平米  ","3室2厅  ","2300","yuelu"
"93平米  ","3室2厅  ","2600","yuelu"
"139平米  ","3室2厅  ","2800","yuelu"
"132平米  ","3室2厅  ","2800","yuelu"
"89平米  ","3室2厅  ","1800","yuelu"
"33平米  ","1室1厅  ","1800","yuelu"
"94平米  ","3室2厅  ","3000","yuelu"
"40平米  ","1室1厅  ","1800","yuelu"
"82平米  ","2室1厅  ","2700","yuelu"
"133平米  ","3室2厅  ","3400","yuhua"
"46平米  ","2室1厅  ","2600","yuhua"
"85平米  ","2室1厅  ","2600","yuhua"
"56平米  ","1室1厅  ","1300","yuhua"
"46平米  ","1室1厅  ","2200","yuhua"
"101平米  ","2室2厅  ","2500","yuhua"
"110平米  ","3室1厅  ","3000","yuhua"
"169平米  ","4室2厅  ","4300","yuhua"
"90平米  ","3室2厅  ","2500","yuhua"
"242平米  ","5室3厅  ","9000","yuhua"
"99平米  ","3室2厅  ","2800","yuhua"
"128平米  ","3室2厅  ","3000","yuhua"
"170平米  ","4室2厅  ","3500","yuhua"
"80平米  ","2室2厅  ","2400","yuhua"
"42平米  ","1室1厅  ","1600","yuhua"
"95平米  ","3室1厅  ","2000","yuhua"
"130平米  ","3室2厅  ","2600","yuhua"
"50平米  ","1室1厅  ","1800","yuhua"
"62平米  ","2室1厅  ","2000","yuhua"
"64平米  ","2室1厅  ","1400","yuhua"
"190平米  ","4室2厅  ","5500","yuhua"
"90平米  ","3室2厅  ","1800","yuhua"
"89平米  ","2室2厅  ","2100","yuhua"
"91平米  ","3室2厅  ","3400","yuhua"
"108平米  ","3室2厅  ","2700","yuhua"
"79平米  ","3室1厅  ","2600","yuhua"
"92平米  ","4室2厅  ","3500","yuhua"
"147平米  ","4室2厅  ","4200","yuhua"
"99平米  ","3室2厅  ","2100","yuhua"
"45平米  ","1室1厅  ","1900","yuhua"
"89平米  ","3室2厅  ","2500","yuhua"
"133平米  ","3室2厅  ","2100","yuhua"
"90平米  ","3室1厅  ","3100","yuhua"
"198平米  ","5室2厅  ","4500","yuhua"
"110平米  ","3室2厅  ","2100","yuhua"
"89平米  ","2室1厅  ","2400","yuhua"
"90平米  ","3室2厅  ","2800","yuhua"
"140平米  ","3室2厅  ","2600","yuhua"
"140平米  ","4室1厅  ","3200","yuhua"
"64平米  ","1室1厅  ","2000","yuhua"
"43平米  ","1室0厅  ","1800","yuhua"
"37平米  ","1室1厅  ","1900","yuhua"
"66平米  ","1室1厅  ","1600","yuhua"
"70平米  ","2室1厅  ","2800","yuhua"
